run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,response,question_order,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
13,1,"[{""page_index"":0,""viewing_time"":6960.799999952316},{""page_index"":1,""viewing_time"":798.7999999523163},{""page_index"":2,""viewing_time"":2430.4000000953674},{""page_index"":3,""viewing_time"":19890.599999904633}]",30081.200000047684,instructions,0,30109,0.0-0.0,"""","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"[{""page_index"":0,""viewing_time"":9700.299999952316}]",9700.400000095367,instructions,1,39816,0.0-1.0,"""","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",381905.10000014305,survey-likert,2,421729,0.0-2.0,"{""rp_name_relation"":2,""ap_ref_tonal"":3,""rp_to_ap"":4,""ap_name_relation"":5,""ap_produce_abref"":6,""ap_id_440"":5,""ap_lose"":4,""ap_to_rp"":3,""ap_remember_group"":2,""ap_produce_440"":1,""rp_name_abref"":1,""ap_name_abref"":2,""rp_lose"":4,""rp_remember_group"":5,""rp_id_440"":6,""ap_perceive_same"":5,""rp_produce_interval"":4,""rp_produce_tonality"":3,""ap_produce_tonality"":2,""rp_ref_tonal"":1,""rp_perceive_same"":0,""rp_produce_440"":1,""ap_produce_interval"":2,""rp_produce_abref"":3,""ap_id_interval"":4,""rp_id_interval"":3}","[5,2,13,19,25,22,27,21,26,23,14,9,24,15,12,11,7,20,4,1,16,0,6,8,18,10,17,3]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",6702.299999952316,survey-text,3,428444,0.0-3.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",6747.800000190735,survey-text,4,435194,0.0-4.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"[{""page_index"":0,""viewing_time"":1933.3999998569489}]",1934.3999998569489,instructions,5,437129,0.0-5.0,"""","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",41837.700000047684,survey-likert,6,478972,0.0-6.0,"{""ap_better_others"":0,""rp_override"":0,""rp_trained_ap"":0,""rp_normal"":0,""ap_override"":0,""ap_people_all"":0,""rp_better_others"":0,""rp_impaired"":0,""ap_tonedeaf"":0,""ap_normal"":0,""rp_tonedeaf"":0,""ap_impaired"":0,""re_people_al"":0,""ap_trained_ap"":0}","[13,2,3,5,9,7,6,1,11,12,4,8,0,10]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"[{""page_index"":0,""viewing_time"":27409.799999952316}]",27411,instructions,7,506385,0.0-7.0,"""","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"[{""page_index"":0,""viewing_time"":5567.700000047684}]",5568.800000190735,instructions,8,511954,0.0-8.0,"""","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"[{""page_index"":0,""viewing_time"":491532.69999980927}]",491533.2999999523,instructions,9,1003487,0.0-9.0,"""","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
